iso_code,country_name,date,total_doses,at_least_one_dose,fully_vaccinated,date_accessed
0,United States Of America,2021-11-26,461084123.0,240462886.0,199060361.0,2022-07-29
0,United States Of America,2021-12-03,458525209.0,236364330.0,195517789.0,2022-07-29
0,United States Of America,2022-04-15,559564168.0,263025029.0,216068711.0,2022-07-29
0,United States Of America,2022-04-22,563545983.0,265729820.0,216603454.0,2022-07-29
0,United States Of America,2021-10-15,411604750.0,226852831.0,190872105.0,2022-07-29
0,United States Of America,2022-04-01,553211414.0,258893148.0,215103676.0,2022-07-29
CYM,Cayman Islands,2022-01-07,133997.0,58939.0,57377.0,2022-07-29
CYM,Cayman Islands,2022-01-14,135232.0,59097.0,57585.0,2022-07-29
CYM,Cayman Islands,2022-03-04,143257.0,61502.0,59726.0,2022-07-29
CYM,Cayman Islands,2022-04-01,141400.0,60484.0,58456.0,2022-07-29
CYM,Cayman Islands,2022-03-11,143257.0,61502.0,59726.0,2022-07-29
CYM,Cayman Islands,2022-02-25,143257.0,61502.0,59726.0,2022-07-29
CYM,Cayman Islands,2021-06-11,85827.0,46402.0,39425.0,2022-07-29
CYM,Cayman Islands,2021-02-12,15543.0,9172.0,6371.0,2022-07-29
GHA,Ghana,2021-03-12,374389.0,374389.0,0.0,2022-07-29
GHA,Ghana,2021-03-11,367365.0,367365.0,0.0,2022-07-29
BGD,Bangladesh,2022-05-24,260863641.0,128961412.0,117358871.0,2022-07-29
GUY,Guyana,2021-05-07,160448.0,153295.0,7153.0,2022-07-29
GUY,Guyana,2021-04-16,48454.0,48454.0,0.0,2022-07-29
GUY,Guyana,2021-12-03,731811.0,430701.0,301110.0,2022-07-29
GUY,Guyana,2021-11-29,674075.0,398949.0,275126.0,2022-07-29
NER,Niger,2021-07-12,423335.0,363018.0,60317.0,2022-07-29
NER,Niger,2021-07-13,423335.0,363018.0,60317.0,2022-07-29
NER,Niger,2021-07-05,423335.0,363018.0,60317.0,2022-07-29
NER,Niger,2021-08-28,621853.0,404246.0,87492.0,2022-07-29
LBR,Liberia,2021-10-08,332800.0,86497.0,227222.0,2022-07-29
LBR,Liberia,2021-04-14,357.0,357.0,0.0,2022-07-29
LBR,Liberia,2021-09-03,113680.0,112343.0,35190.0,2022-07-29
LBR,Liberia,2021-08-23,113680.0,104545.0,27392.0,2022-07-29
LBR,Liberia,2022-02-10,1200630.0,1116709.0,1084591.0,2022-07-29
LBR,Liberia,2021-12-31,1146910.0,1017128.0,984421.0,2022-07-29
LBR,Liberia,2022-01-07,1146910.0,1018979.0,986975.0,2022-07-29
LBR,Liberia,2021-10-22,358079.0,0.0,249861.0,2022-07-29
GUF,French Guiana,2022-03-18,223031.0,96745.0,87292.0,2022-07-29
GUF,French Guiana,2021-05-21,47472.0,31899.0,15573.0,2022-07-29
KEN,Kenya,2022-05-08,17927457.0,11711277.0,8315517.0,2022-07-29
KEN,Kenya,2022-05-15,17992422.0,11968185.0,8591665.0,2022-07-29
KEN,Kenya,2021-03-13,9144.0,9144.0,0.0,2022-07-29
0,Côte D’Ivoire,2021-09-30,2082137.0,1632623.0,449514.0,2022-07-29
0,Côte D’Ivoire,2021-10-03,2238044.0,1751511.0,486533.0,2022-07-29
0,Côte D’Ivoire,2021-10-06,2490820.0,1921801.0,569019.0,2022-07-29
0,Côte D’Ivoire,2021-11-30,4388454.0,3033228.0,1355226.0,2022-07-29
0,Côte D’Ivoire,2021-05-10,226311.0,192566.0,33745.0,2022-07-29
0,Côte D’Ivoire,2021-07-19,900688.0,810850.0,89838.0,2022-07-29
0,Côte D’Ivoire,2021-09-22,1836904.0,1462682.0,374222.0,2022-07-29
0,Côte D’Ivoire,2022-03-05,9970869.0,6874956.0,4006643.0,2022-07-29
0,Côte D’Ivoire,2021-12-12,4812235.0,3306299.0,1505936.0,2022-07-29
0,Côte D’Ivoire,2021-04-12,60823.0,59200.0,1623.0,2022-07-29
0,Côte D’Ivoire,2021-04-27,118224.0,101242.0,16982.0,2022-07-29
0,Côte D’Ivoire,2021-04-28,118224.0,101242.0,16982.0,2022-07-29
0,Côte D’Ivoire,2022-03-08,10108543.0,6955366.0,4178108.0,2022-07-29
0,Côte D’Ivoire,2021-03-18,7820.0,0.0,0.0,2022-07-29
0,Côte D’Ivoire,2021-07-05,799278.0,721249.0,77375.0,2022-07-29
0,Côte D’Ivoire,2021-09-19,1758966.0,1412268.0,346698.0,2022-07-29
0,Côte D’Ivoire,2022-03-27,10364488.0,7111845.0,4599452.0,2022-07-29
0,Côte D’Ivoire,2021-04-19,92885.0,82455.0,0.0,2022-07-29
0,Côte D’Ivoire,2021-03-24,27886.0,0.0,0.0,2022-07-29
0,Côte D’Ivoire,2021-04-05,49323.0,0.0,0.0,2022-07-29
0,Côte D’Ivoire,2021-07-12,829070.0,775729.0,84857.0,2022-07-29
0,Côte D’Ivoire,2021-07-13,829070.0,775729.0,84857.0,2022-07-29
0,Côte D’Ivoire,2021-04-14,60823.0,59200.0,0.0,2022-07-29
0,Côte D’Ivoire,2021-09-12,1556343.0,1272027.0,284316.0,2022-07-29
0,Côte D’Ivoire,2021-06-20,719701.0,648638.0,71065.0,2022-07-29
0,Côte D’Ivoire,2021-06-28,731396.0,659508.0,71888.0,2022-07-29
0,Côte D’Ivoire,2021-11-09,3541785.0,2487429.0,1054356.0,2022-07-29
0,Côte D’Ivoire,2021-11-14,3845788.0,2669432.0,1176366.0,2022-07-29
0,Côte D’Ivoire,2021-03-26,36832.0,0.0,0.0,2022-07-29
0,Côte D’Ivoire,2022-03-14,10154915.0,6989567.0,4220241.0,2022-07-29
