COUNTRY,YEAR,INDCODE,DIMENSION2,VALUE,VALUE_NUM,VALUE_EXACT,VALUE_CMT,LEG_COMMENT,LEG_CREATEDBY,LEG_MODIFIEDBY,LEG_DATESTAMP,SOURCE
SMR,2024,POLICY_VACCINATION,POLICY_RECOMMENDATION_CA_CHRONIC,NO,,,,,,,,EJRF
SMR,2024,POLICY_VACCINATION,OTHER_GROUPS,NO,,,,,,,,EJRF
SMR,2024,POLICY_VACCINATION,POLICY_RECOMMENDATION_ELDERLY,NO,,,,,,,,EJRF
SMR,2024,POLICY_REVACCINATION,POLICY_RECOMMENDATION_ELDERLY_CHRONIC,YES,,,,,,,,EJRF
SMR,2024,POLICY_REVACCINATION,POLICY_RECOMMENDATION_ADULTS,,,,,,,,,EJRF
SMR,2024,POLICY_REVACCINATION,POLICY_RECOMMENDATION_ADULTS_CHRONIC,NO,,,,,,,,EJRF
SMR,2024,POLICY_REVACCINATION,PW,,,,,,,,,EJRF
SMR,2024,POLICY_REVACCINATION,POLICY_RECOMMENDATION_HCW,,,,,,,,,EJRF
SMR,2024,POLICY_REVACCINATION,POLICY_RECOMMENDATION_CA,,,,,,,,,EJRF
SMR,2024,POLICY_REVACCINATION,POLICY_RECOMMENDATION_CA_CHRONIC,,,,,,,,,EJRF
SMR,2024,POLICY_REVACCINATION,OTHER_GROUPS,,,,,,,,,EJRF
SMR,2024,POLICY_REVACCINATION,POLICY_RECOMMENDATION_ELDERLY,,,,,,,,,EJRF
SMR,2024,POLICY_INTERVAL,POLICY_RECOMMENDATION_ELDERLY_CHRONIC,12_MONTHS,,,,,,,,EJRF
SMR,2024,POLICY_INTERVAL,POLICY_RECOMMENDATION_ADULTS,,,,,,,,,EJRF
SMR,2024,POLICY_INTERVAL,POLICY_RECOMMENDATION_ADULTS_CHRONIC,,,,,,,,,EJRF
SMR,2024,POLICY_INTERVAL,PW,,,,,,,,,EJRF
SMR,2024,POLICY_INTERVAL,POLICY_RECOMMENDATION_HCW,,,,,,,,,EJRF
SMR,2024,POLICY_INTERVAL,POLICY_RECOMMENDATION_CA,,,,,,,,,EJRF
