COUNTRY,YEAR,VACCINECODE,INTERVENTION,SCHEDULEROUNDS,TARGETPOP,GEOAREA,AGEADMINISTERED,SUBNATIONAL_TARGET,SOURCECOMMENT,COMMENTORIGINAL,LEG_COMMENT,LEG_CREATEDBY,LEG_MODIFIEDBY,LEG_DATESTAMP
BHR,2024,COVID19,,1,RISKGROUPS,NATIONAL,,-9999.000000000,"Children and adolescents with chronic conditions, adults with chronic conditions, older adults with chronic conditions",,,,,
BHR,2024,COVID19,,1,PW,NATIONAL,,-9999.000000000,Pregnant women,,,,,
BHR,2024,COVID19,,1,HW,NATIONAL,,-9999.000000000,Health and care workers,,,,,
BHR,2024,COVID19,,1,,NATIONAL,,-9999.000000000,All children and adolescents,,,,,
AGO,2024,COVID19,,1,PW,NATIONAL,,-9999.000000000,Pregnant women,,,,,
AGO,2024,COVID19,,1,HW,NATIONAL,,-9999.000000000,Health and care workers,,,,,
AGO,2024,COVID19,,1,ADULTS,NATIONAL,,-9999.000000000,"All adults, all older adults",,,,,
AGO,2024,COVID19,,1,RISKGROUPS,NATIONAL,,-9999.000000000,"Children and adolescents with chronic conditions, adults with chronic conditions, older adults with chronic conditions",,,,,
AGO,2024,COVID19,,1,,NATIONAL,,-9999.000000000,All children and adolescents,,,,,
TCD,2024,COVID19,,1,ADULTS,NATIONAL,,-9999.000000000,All older adults,,,,,
TCD,2024,COVID19,,1,RISKGROUPS,NATIONAL,,-9999.000000000,"Adults with chronic conditions, older adults with chronic conditions",,,,,
TCD,2024,COVID19,,1,HW,NATIONAL,,-9999.000000000,Health and care workers,,,,,
MMR,2024,COVID19,,1,ADULTS,NATIONAL,,-9999.000000000,"All adults, all older adults",,,,,
MMR,2024,COVID19,,1,PW,NATIONAL,,-9999.000000000,Pregnant women,,,,,
CMR,2024,COVID19,,1,PW,NATIONAL,,-9999.000000000,Pregnant women,,,,,
CMR,2024,COVID19,,1,HW,NATIONAL,,-9999.000000000,Health and care workers,,,,,
CMR,2024,COVID19,,1,ADULTS,NATIONAL,,-9999.000000000,"All adults, all older adults",,,,,
CMR,2024,COVID19,,1,RISKGROUPS,NATIONAL,,-9999.000000000,"Adults with chronic conditions, older adults with chronic conditions",,,,,
COG,2024,COVID19,,1,PW,NATIONAL,,-9999.000000000,Pregnant women,,,,,
COG,2024,COVID19,,1,HW,NATIONAL,,-9999.000000000,Health and care workers,,,,,
COG,2024,COVID19,,1,ADULTS,NATIONAL,,-9999.000000000,"All adults, all older adults",,,,,
COG,2024,COVID19,,1,RISKGROUPS,NATIONAL,,-9999.000000000,"Children and adolescents with chronic conditions, adults with chronic conditions, older adults with chronic conditions",,,,,
COG,2024,COVID19,,1,,NATIONAL,,-9999.000000000,All children and adolescents,,,,,
BGD,2024,COVID19,,1,PW,NATIONAL,,-9999.000000000,Pregnant women,,,,,
BGD,2024,COVID19,,1,HW,NATIONAL,,-9999.000000000,Health and care workers,,,,,
BGD,2024,COVID19,,1,ADULTS,NATIONAL,,-9999.000000000,"All adults, all older adults",,,,,
BGD,2024,COVID19,,1,RISKGROUPS,NATIONAL,,-9999.000000000,"Adults with chronic conditions, older adults with chronic conditions",,,,,
HTI,2024,COVID19,,1,PW,NATIONAL,,-9999.000000000,Pregnant women,,,,,
HTI,2024,COVID19,,1,HW,NATIONAL,,-9999.000000000,Health and care workers,,,,,
HTI,2024,COVID19,,4,RISKGROUPS,NATIONAL,,-9999.000000000,"Children and adolescents with chronic conditions, adults with chronic conditions, older adults with chronic conditions",,,,,
HTI,2024,COVID19,,5,ADULTS,NATIONAL,,-9999.000000000,"All adults, all older adults",,,,,
SVN,2024,COVID19,,1,ADULTS,NATIONAL,,-9999.000000000,All older adults,,,,,
SVN,2024,COVID19,,1,RISKGROUPS,NATIONAL,,-9999.000000000,"Children and adolescents with chronic conditions, adults with chronic conditions, older adults with chronic conditions, other groups",,Updated eJRF 2024 received 19/May/2025.,,,
IDN,2024,COVID19,,1,PW,NATIONAL,,-9999.000000000,Pregnant women,,,,,
IDN,2024,COVID19,,1,HW,NATIONAL,,-9999.000000000,Health and care workers,,,,,
IDN,2024,COVID19,,1,ADULTS,NATIONAL,,-9999.000000000,All older adults,,,,,
IDN,2024,COVID19,,1,RISKGROUPS,NATIONAL,,-9999.000000000,"Children and adolescents with chronic conditions, adults with chronic conditions, older adults with chronic conditions",,,,,
GTM,2024,COVID19,,1,PW,NATIONAL,,-9999.000000000,Pregnant women,,,,,
GTM,2024,COVID19,,1,RISKGROUPS,NATIONAL,,-9999.000000000,"Children and adolescents with chronic conditions, adults with chronic conditions, older adults with chronic conditions, other groups",,,,,
GTM,2024,COVID19,,1,HW,NATIONAL,,-9999.000000000,Health and care workers,,,,,
GTM,2024,COVID19,,1,,NATIONAL,,-9999.000000000,All children and adolescents,,,,,
MNE,2024,COVID19,,1,ADULTS,NATIONAL,,-9999.000000000,All older adults,,,,,
MNE,2024,COVID19,,1,PW,NATIONAL,,-9999.000000000,Pregnant women,,,,,
MNE,2024,COVID19,,1,RISKGROUPS,NATIONAL,,-9999.000000000,"Adults with chronic conditions, older adults with chronic conditions, other groups",,,,,
MNE,2024,COVID19,,1,HW,NATIONAL,,-9999.000000000,Health and care workers,,,,,
NOR,2024,COVID19,,1,RISKGROUPS,NATIONAL,,-9999.000000000,"Children and adolescents with chronic conditions, adults with chronic conditions, older adults with chronic conditions",,,,,
NOR,2024,COVID19,,1,ADULTS,NATIONAL,,-9999.000000000,All older adults,,,,,
NOR,2024,COVID19,,1,PW,NATIONAL,,-9999.000000000,Pregnant women,,,,,
